StoreID,Date,City,State,Latitude,Longitude,Sales,Customers,ExistingStore,DemandScore
1000,2025-01-13,Hyderabad,Telangana,17.423648,78.445883,123158,154,Yes,77
1001,2025-01-17,Kolkata,West Bengal,22.497368,88.318882,314951,77,Yes,85
1002,2025-08-03,Jaipur,Rajasthan,26.86767,75.801583,474374,56,Yes,84
1003,2025-06-24,Kolkata,West Bengal,22.537059,88.31835,450290,394,Yes,45
1004,2025-02-19,Kolkata,West Bengal,22.550037,88.338933,188685,94,No,74
1005,2025-07-13,Hyderabad,Telangana,17.317608,78.453609,379588,420,Yes,85
1006,2025-01-24,Hyderabad,Telangana,17.410802,78.530391,91833,288,Yes,64
1007,2025-08-21,Pune,Maharashtra,18.54211,73.835073,244081,413,Yes,82
1008,2025-12-26,Pune,Maharashtra,18.590265,73.880386,369360,225,Yes,50
1009,2025-07-14,Ahmedabad,Gujarat,22.985692,72.639463,410795,274,No,93
1010,2025-04-28,Bengaluru,Karnataka,13.023088,77.643407,260325,324,Yes,53
1011,2025-06-11,Lucknow,Uttar Pradesh,26.80072,80.946077,387039,519,Yes,56
1012,2025-05-07,Chennai,Tamil Nadu,13.121898,80.276936,441650,488,No,63
1013,2025-03-12,Mumbai,Maharashtra,19.077524,72.812246,74702,162,Yes,80
1014,2025-12-15,Chennai,Tamil Nadu,13.070246,80.200864,250078,529,No,75
1015,2025-12-15,Bengaluru,Karnataka,13.006915,77.623674,331527,323,No,47
1016,2025-08-11,Pune,Maharashtra,18.465705,73.777219,428584,319,Yes,72
1017,2025-11-17,Hyderabad,Telangana,17.352751,78.508932,369275,253,Yes,63
1018,2025-10-04,Chennai,Tamil Nadu,13.15526,80.338289,50299,381,No,41
1019,2025-07-05,Hyderabad,Telangana,17.445596,78.539766,211225,295,Yes,55
1020,2025-02-10,Lucknow,Uttar Pradesh,26.780405,80.943958,86287,595,Yes,48
1021,2025-10-09,Ahmedabad,Gujarat,22.96892,72.575828,368029,483,Yes,99
1022,2025-12-20,Jaipur,Rajasthan,26.864584,75.757175,402157,432,No,97
1023,2025-08-20,Jaipur,Rajasthan,26.851761,75.743252,227254,71,Yes,77
1024,2025-01-04,Mumbai,Maharashtra,19.007359,72.898676,170031,119,Yes,95
1025,2025-02-06,Delhi,Delhi,28.616165,77.173556,304496,269,Yes,86
1026,2025-10-23,Lucknow,Uttar Pradesh,26.842327,80.991739,473360,466,Yes,46
1027,2025-12-04,Hyderabad,Telangana,17.373968,78.474473,294855,105,Yes,43
1028,2025-06-23,Kolkata,West Bengal,22.620695,88.301383,150448,244,No,48
1029,2025-04-04,Kolkata,West Bengal,22.537167,88.323869,89523,503,Yes,43
1030,2025-01-08,Jaipur,Rajasthan,26.987439,75.855519,494960,292,Yes,66
1031,2025-09-04,Ahmedabad,Gujarat,22.9767,72.555566,80741,218,No,40
1032,2025-05-16,Kolkata,West Bengal,22.640843,88.409521,199552,483,No,49
1033,2025-06-01,Mumbai,Maharashtra,19.030832,72.807057,435738,112,No,43
1034,2025-10-27,Bengaluru,Karnataka,12.967886,77.661702,328463,211,Yes,72
1035,2025-04-06,Hyderabad,Telangana,17.315963,78.417574,173314,463,Yes,100
1036,2025-05-07,Lucknow,Uttar Pradesh,26.859327,80.872559,92982,479,No,99
1037,2025-04-15,Pune,Maharashtra,18.547556,73.826969,189258,455,Yes,82
1038,2025-08-23,Pune,Maharashtra,18.490988,73.896998,88033,59,No,79
1039,2025-02-21,Lucknow,Uttar Pradesh,26.778422,80.900305,189041,185,No,96
1040,2025-05-06,Hyderabad,Telangana,17.364124,78.431939,487122,359,Yes,82
1041,2025-06-03,Jaipur,Rajasthan,26.981481,75.723874,120407,320,Yes,96
1042,2025-10-11,Hyderabad,Telangana,17.329872,78.451781,160430,401,Yes,83
1043,2025-09-16,Pune,Maharashtra,18.518565,73.921554,493602,102,Yes,80
1044,2025-05-22,Kolkata,West Bengal,22.499654,88.337269,118587,318,Yes,87
1045,2025-10-10,Ahmedabad,Gujarat,23.055407,72.581145,108654,127,Yes,74
1046,2025-07-09,Bengaluru,Karnataka,12.984802,77.538295,116818,92,No,63
1047,2025-07-03,Bengaluru,Karnataka,12.925212,77.554525,103893,412,No,79
1048,2025-05-02,Chennai,Tamil Nadu,13.141037,80.346893,475077,231,No,41
1049,2025-06-20,Chennai,Tamil Nadu,13.127882,80.256574,401224,304,No,50
1050,2025-07-15,Hyderabad,Telangana,17.444547,78.544075,166619,254,No,62
1051,2025-04-27,Pune,Maharashtra,18.476068,73.882305,258910,386,No,95
1052,2025-05-23,Hyderabad,Telangana,17.361183,78.488205,406263,599,No,100
1053,2025-03-01,Bengaluru,Karnataka,13.031926,77.556394,354396,321,Yes,46
1054,2025-08-11,Lucknow,Uttar Pradesh,26.82201,80.992029,278796,573,Yes,64
1055,2025-04-08,Lucknow,Uttar Pradesh,26.807456,80.979606,50886,582,Yes,63
1056,2025-02-05,Kolkata,West Bengal,22.64442,88.431223,376712,371,Yes,86
1057,2025-09-17,Pune,Maharashtra,18.489886,73.842043,260973,352,Yes,52
1058,2025-12-07,Kolkata,West Bengal,22.643058,88.392271,141240,358,No,75
1059,2025-06-05,Bengaluru,Karnataka,12.937506,77.583382,354079,379,No,68
1060,2025-12-12,Ahmedabad,Gujarat,22.976692,72.56711,467346,223,Yes,58
1061,2025-12-06,Jaipur,Rajasthan,26.933671,75.76093,479089,290,No,54
1062,2025-03-17,Mumbai,Maharashtra,18.999908,72.836875,299108,124,No,66
1063,2025-04-10,Lucknow,Uttar Pradesh,26.881635,80.927637,259533,299,Yes,81
1064,2025-02-24,Bengaluru,Karnataka,13.016147,77.549615,471585,580,No,43
1065,2025-05-08,Jaipur,Rajasthan,26.979195,75.726717,119908,525,No,100
1066,2025-11-10,Ahmedabad,Gujarat,23.072901,72.634123,273735,506,Yes,87
1067,2025-08-19,Ahmedabad,Gujarat,22.983971,72.530958,384318,333,No,80
1068,2025-05-21,Mumbai,Maharashtra,19.06638,72.911867,172942,328,No,60
